,Round,School,Year
1755,6,Connecticut,12
1756,6,Nevada-Las Vegas,12
1757,6,Wichita State,12
1758,6,Brigham Young,12
1759,6,Davidson,12
1760,6,Long Beach State,12
1761,6,Colorado State,12
1762,6,St. Bonaventure,12
1763,6,Texas,12
1764,6,Vermont,12
1765,6,Detroit,12
1766,6,Belmont,12
1767,6,Alabama,12
1768,6,"St. Mary's, California",12
1769,6,San Diego State,12
1770,6,Temple,12
1771,6,Michigan,12
1772,6,Notre Dame,12
1773,6,Duke,12
1774,6,Long Island-Brooklyn,12
1775,6,Virginia,12
1776,6,Memphis,12
1777,6,Missouri,12
1778,5,Kansas State,12
1779,5,Gonzaga,12
1780,5,Vanderbilt,12
1781,5,Iowa State,12
1782,5,Colorado,12
1783,5,Virginia Commonwealth,12
1784,5,Murray State,12
1785,5,New Mexico,12
1786,5,Florida State,12
1787,5,Creighton,12
1788,5,Purdue,12
1789,5,Georgetown,12
1790,5,South Florida,12
1791,5,Lehigh,12
1792,5,St. Louis,12
1793,5,Norfolk State,12
1794,4,Wisconsin,12
1795,4,Cincinnati,12
1796,4,Michigan State,12
1797,4,Marquette,12
1798,4,Ohio,12
1799,4,North Carolina State,12
1800,4,Indiana,12
1801,4,"Xavier, Ohio",12
1802,3,Syracuse,12
1803,3,Florida,12
1804,3,North Carolina,12
1805,3,Baylor,12
1806,2,Louisville,12
1807,2,Ohio State,12
1808,1,Kansas,12
1809,0,Kentucky,12
1810,7,Middle Tennessee State,13
1811,7,Liberty,13
1812,7,Long Island-Brooklyn,13
1813,7,Boise State,13
1814,6,Davidson,13
1815,6,Montana,13
1816,6,Bucknell,13
1817,6,Nevada-Las Vegas,13
1818,6,North Carolina A&T,13
1819,6,Valparaiso,13
1820,6,New Mexico State,13
1821,6,"St. Mary's, California",13
1822,6,Missouri,13
1823,6,Oklahoma State,13
1824,6,South Dakota State,13
1825,6,Akron,13
1826,6,Southern,13
1827,6,Belmont,13
1828,6,Pittsburgh,13
1829,6,New Mexico,13
1830,6,James Madison,13
1831,6,"Pacific, California",13
1832,6,Colorado,13
1833,6,North Carolina State,13
1834,6,Albany,13
1835,6,Cincinnati,13
1836,6,Western Kentucky,13
1837,6,Northwestern State,13
1838,6,Oklahoma,13
1839,6,Villanova,13
1840,6,UCLA,13
1841,6,Georgetown,13
1842,6,Iona,13
1843,6,Notre Dame,13
1844,6,Wisconsin,13
1845,6,Kansas State,13
1846,5,Butler,13
1847,5,California,13
1848,5,Colorado State,13
1849,5,Memphis,13
1850,5,St. Louis,13
1851,5,Virginia Commonwealth,13
1852,5,Harvard,13
1853,5,Gonzaga,13
1854,5,Temple,13
1855,5,Illinois,13
1856,5,Creighton,13
1857,5,North Carolina,13
1858,5,Minnesota,13
1859,5,San Diego State,13
1860,5,Iowa State,13
1861,5,Mississippi,13
1862,4,"Miami, Florida",13
1863,4,Indiana,13
1864,4,Arizona,13
1865,4,La Salle,13
1866,4,Oregon,13
1867,4,Michigan State,13
1868,4,Florida Gulf Coast,13
1869,4,Kansas,13
1870,3,Marquette,13
1871,3,Ohio State,13
1872,3,Duke,13
1873,3,Florida,13
1874,2,Wichita State,13
1875,2,Syracuse,13
1876,1,Michigan,13
1877,0,Louisville,13
1878,7,"Xavier, Ohio",14
1879,7,"Mt. St. Mary's, Maryland",14
1880,7,Iowa,14
1881,7,Texas Southern,14
1882,6,Milwaukee,14
1883,6,Delaware,14
1884,6,"St. Joseph's, Pennsylvania",14
1885,6,Cincinnati,14
1886,6,Wofford,14
1887,6,Manhattan,14
1888,6,North Carolina State,14
1889,6,Arizona State,14
1890,6,Albany,14
1891,6,Western Michigan,14
1892,6,Colorado,14
1893,6,Ohio State,14
1894,6,American,14
1895,6,New Mexico State,14
1896,6,Brigham Young,14
1897,6,Oklahoma,14
1898,6,Coastal Carolina,14
1899,6,North Carolina Central,14
1900,6,Providence,14
1901,6,George Washington,14
1902,6,Cal Poly,14
1903,6,Kansas State,14
1904,6,Massachusetts,14
1905,6,Duke,14
1906,6,Eastern Kentucky,14
1907,6,Tulsa,14
1908,6,New Mexico,14
1909,6,Virginia Commonwealth,14
1910,6,Weber State,14
1911,6,Louisiana-Lafayette,14
1912,6,Nebraska,14
1913,6,Oklahoma State,14
1914,5,Harvard,14
1915,5,Villanova,14
1916,5,Texas,14
1917,5,St. Louis,14
1918,5,Pittsburgh,14
1919,5,Syracuse,14
1920,5,Oregon,14
1921,5,North Dakota State,14
1922,5,Memphis,14
1923,5,North Carolina,14
1924,5,Wichita State,14
1925,5,Mercer,14
1926,5,Stephen F. Austin,14
1927,5,Kansas,14
1928,5,Gonzaga,14
1929,5,Creighton,14
1930,4,UCLA,14
1931,4,Stanford,14
1932,4,San Diego State,14
1933,4,Baylor,14
1934,4,Virginia,14
1935,4,Iowa State,14
1936,4,Tennessee,14
1937,4,Louisville,14
1938,3,Dayton,14
1939,3,Arizona,14
1940,3,Michigan State,14
1941,3,Michigan,14
1942,2,Florida,14
1943,2,Wisconsin,14
1944,1,Kentucky,14
1945,0,Connecticut,14
1946,7,Manhattan,15
1947,7,Brigham Young,15
1948,7,Boise State,15
1949,7,North Florida,15
1950,6,Lafayette,15
1951,6,Louisiana State,15
1952,6,Hampton,15
1953,6,Northeastern,15
1954,6,Texas,15
1955,6,Purdue,15
1956,6,Eastern Washington,15
1957,6,Stephen F. Austin,15
1958,6,Southern Methodist,15
1959,6,Iowa State,15
1960,6,Texas Southern,15
1961,6,Harvard,15
1962,6,Wofford,15
1963,6,Mississippi,15
1964,6,Virginia Commonwealth,15
1965,6,Baylor,15
1966,6,Belmont,15
1967,6,Albany,15
1968,6,California-Irvine,15
1969,6,Wyoming,15
1970,6,Georgia,15
1971,6,Providence,15
1972,6,New Mexico State,15
1973,6,Valparaiso,15
1974,6,Buffalo,15
1975,6,Indiana,15
1976,6,Robert Morris,15
1977,6,North Dakota State,15
1978,6,Davidson,15
1979,6,"St. John's, New York",15
1980,6,Coastal Carolina,15
1981,6,Oklahoma State,15
1982,5,Villanova,15
1983,5,Cincinnati,15
1984,5,Butler,15
1985,5,Georgetown,15
1986,5,UAB,15
1987,5,Ohio State,15
1988,5,Arkansas,15
1989,5,Georgia State,15
1990,5,Dayton,15
1991,5,Northern Iowa,15
1992,5,Virginia,15
1993,5,Maryland,15
1994,5,Kansas,15
1995,5,San Diego State,15
1996,5,Iowa,15
1997,5,Oregon,15
1998,4,West Virginia,15
1999,4,Wichita State,15
2000,4,North Carolina,15
2001,4,"Xavier, Ohio",15
2002,4,North Carolina State,15
2003,4,Oklahoma,15
2004,4,Utah,15
2005,4,UCLA,15
2006,3,Notre Dame,15
2007,3,Arizona,15
2008,3,Louisville,15
2009,3,Gonzaga,15
2010,2,Michigan State,15
2011,2,Kentucky,15
2012,1,Wisconsin,15
2013,0,Duke,15
2014,7,Fairleigh Dickinson,16
2015,7,Vanderbilt,16
2016,7,Tulsa,16
2017,7,Southern,16
2018,6,Florida Gulf Coast,16
2019,6,Stony Brook,16
2020,6,Chattanooga,16
2021,6,Southern California,16
2022,6,Hampton,16
2023,6,Fresno State,16
2024,6,Iona,16
2025,6,Texas Tech,16
2026,6,Seton Hall,16
2027,6,Purdue,16
2028,6,Austin Peay,16
2029,6,Buffalo,16
2030,6,Colorado,16
2031,6,Arizona,16
2032,6,North Carolina-Wilmington,16
2033,6,Baylor,16
2034,6,Weber State,16
2035,6,Michigan,16
2036,6,Pittsburgh,16
2037,6,West Virginia,16
2038,6,Dayton,16
2039,6,Michigan State,16
2040,6,North Carolina-Asheville,16
2041,6,South Dakota State,16
2042,6,Temple,16
2043,6,California,16
2044,6,Holy Cross,16
2045,6,California State-Bakersfield,16
2046,6,Green Bay,16
2047,6,Cincinnati,16
2048,6,Oregon State,16
2049,6,Texas,16
2050,5,Providence,16
2051,5,Kentucky,16
2052,5,Butler,16
2053,5,Arkansas-Little Rock,16
2054,5,Utah,16
2055,5,Connecticut,16
2056,5,Wichita State,16
2057,5,Yale,16
2058,5,Stephen F. Austin,16
2059,5,"Xavier, Ohio",16
2060,5,Middle Tennessee State,16
2061,5,Iowa,16
2062,5,Hawaii,16
2063,5,"St. Joseph's, Pennsylvania",16
2064,5,Virginia Commonwealth,16
2065,5,Northern Iowa,16
2066,4,Maryland,16
2067,4,"Miami, Florida",16
2068,4,Duke,16
2069,4,Texas A&M,16
2070,4,Indiana,16
2071,4,Wisconsin,16
2072,4,Iowa State,16
2073,4,Gonzaga,16
2074,3,Kansas,16
2075,3,Oregon,16
2076,3,Notre Dame,16
2077,3,Virginia,16
2078,2,Syracuse,16
2079,2,Oklahoma,16
2080,1,North Carolina,16
2081,0,Villanova,16
