,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Year,Round
82,Gonzaga,36,29,7,0.806,15.56,5.36,15.0,3.0,15,0,8,4,2761,2372,1421.0,972,1963,0.495,255,643,0.397,562,793,0.709,343.0,1291,525,235,142,419.0,659.0,13,5
83,Kentucky,31,18,13,0.581,9.19,7.09,12.0,4.0,14,4,4,6,2124,2034,1260.0,735,1566,0.469,182,493,0.369,472,644,0.733,301.0,1038,395,206,149,490.0,586.0,7,5
84,Temple,31,9,22,0.29,2.69,6.88,4.0,14.0,4,9,2,9,2291,2421,1265.0,828,1934,0.428,201,594,0.338,434,614,0.707,383.0,1102,421,180,109,327.0,573.0,13,5
85,North Carolina-Wilmington,31,24,7,0.774,8.52,-2.8,15.0,3.0,11,1,10,5,2214,1863,1250.0,801,1747,0.459,216,581,0.372,396,572,0.692,309.0,1022,456,283,58,352.0,572.0,2,5
86,North Carolina,33,26,7,0.788,19.95,11.77,13.0,3.0,12,2,8,3,2611,2341,0.0,945,1972,0.479,189,519,0.364,532,794,0.67,411.0,1363,576,244,184,518.0,576.0,1,5
87,Central Michigan,30,6,24,0.2,-9.38,1.52,2.0,16.0,5,8,1,12,2116,2411,0.0,735,1686,0.436,218,611,0.357,428,631,0.678,303.0,962,438,186,59,531.0,672.0,3,5
88,Cincinnati,33,22,11,0.667,15.19,5.25,12.0,6.0,14,3,6,6,2418,2090,1355.0,851,1980,0.43,252,725,0.348,464,658,0.705,441.0,1291,508,257,192,363.0,513.0,15,5
89,West Virginia,33,19,14,0.576,12.13,7.53,9.0,9.0,11,5,4,6,2346,2194,1355.0,838,1914,0.438,174,583,0.298,496,739,0.671,493.0,1135,477,210,85,422.0,555.0,11,5
90,Notre Dame,36,21,15,0.583,12.26,8.7,8.0,10.0,15,3,3,8,2727,2544,1445.0,988,2283,0.433,319,802,0.398,432,609,0.709,440.0,1404,601,192,95,343.0,544.0,8,5
91,Texas,34,20,14,0.588,14.0,8.12,9.0,9.0,15,3,4,7,2470,2270,1370.0,836,1927,0.434,197,601,0.328,601,820,0.733,453.0,1118,419,231,125,426.0,659.0,11,5
92,Mississippi State,34,23,11,0.676,12.55,6.05,9.0,7.0,11,2,5,5,2466,2245,1360.0,870,1958,0.444,199,590,0.337,527,792,0.665,492.0,1389,475,232,114,503.0,532.0,4,5
93,Duke,37,30,7,0.811,20.1,9.07,11.0,5.0,16,1,6,5,2867,2439,1485.0,971,2186,0.444,267,766,0.349,658,904,0.728,490.0,1348,492,311,146,454.0,671.0,8,5
94,North Carolina,38,26,12,0.684,20.63,11.76,11.0,7.0,10,5,7,4,2953,2616,1530.0,1099,2309,0.476,184,514,0.358,571,814,0.701,526.0,1541,661,251,160,481.0,738.0,14,5
95,Villanova,33,21,12,0.636,15.05,8.23,9.0,9.0,13,4,7,5,2384,2159,1325.0,796,1819,0.438,210,604,0.348,582,769,0.757,402.0,1223,450,208,125,392.0,578.0,10,5
96,Ohio,30,19,11,0.633,3.84,-0.5,10.0,8.0,13,2,5,7,2077,1935,1210.0,719,1570,0.458,218,609,0.358,421,606,0.695,330.0,986,427,255,70,424.0,502.0,5,6
97,Winthrop,31,23,8,0.742,6.28,-4.93,13.0,3.0,15,1,7,6,2276,1897,0.0,778,1735,0.448,238,658,0.362,482,697,0.692,402.0,1127,490,298,102,439.0,530.0,5,6
98,Fairleigh Dickinson,32,20,12,0.625,-3.15,-5.28,14.0,4.0,11,3,8,8,2377,2265,0.0,871,1909,0.456,208,586,0.355,427,662,0.645,377.0,1176,506,238,203,468.0,540.0,5,6
99,North Carolina-Wilmington,30,15,15,0.5,1.44,-0.46,9.0,9.0,9,3,4,10,1844,1787,1215.0,647,1584,0.408,187,554,0.338,363,537,0.676,326.0,976,360,238,38,405.0,578.0,3,6
100,Central Connecticut State,28,14,14,0.5,-8.79,-10.18,11.0,9.0,8,5,6,7,2050,2011,0.0,710,1610,0.441,155,429,0.361,475,681,0.698,419.0,1090,337,209,91,466.0,568.0,0,6
101,New Mexico,34,27,7,0.794,12.72,4.84,15.0,3.0,13,2,8,2,2516,2248,1380.0,847,1851,0.458,197,593,0.332,625,863,0.724,360.0,1296,522,162,172,361.0,577.0,13,6
102,Charlotte,32,19,13,0.594,4.72,1.97,11.0,5.0,9,6,9,6,2234,2146,1295.0,760,1898,0.4,275,745,0.369,439,672,0.653,471.0,1238,451,220,90,410.0,569.0,5,6
103,Virginia,35,23,12,0.657,12.89,4.23,11.0,7.0,20,2,3,8,2248,1945,1405.0,818,1790,0.457,213,553,0.385,399,565,0.706,298.0,1023,491,206,154,391.0,549.0,12,6
104,Oklahoma State,32,18,14,0.563,12.95,9.63,8.0,10.0,12,4,3,8,2160,2011,1290.0,733,1667,0.44,226,647,0.349,468,645,0.726,287.0,1039,366,253,156,392.0,614.0,14,6
105,Austin Peay,32,22,10,0.688,1.42,-1.38,16.0,0.0,13,0,8,8,2098,1935,1280.0,739,1673,0.442,182,556,0.327,438,632,0.693,318.0,1090,405,218,130,440.0,558.0,3,6
106,Indiana State,34,22,12,0.647,6.95,2.5,10.0,8.0,12,2,5,8,2479,2305,0.0,861,1872,0.46,213,594,0.359,544,772,0.705,334.0,1069,521,237,100,402.0,576.0,0,6
107,Coastal Carolina,33,21,12,0.636,-1.85,-4.22,12.0,6.0,14,4,7,5,2410,2196,1325.0,854,1909,0.447,244,716,0.341,458,689,0.665,377.0,1299,396,195,113,406.0,568.0,15,6
108,Florida A&M,29,14,15,0.483,-15.06,-9.24,10.0,8.0,7,3,6,11,1972,2141,0.0,702,1650,0.425,156,476,0.328,412,627,0.657,0.0,1056,328,213,41,502.0,584.0,4,6
109,Florida,32,24,8,0.75,20.18,7.12,12.0,4.0,13,3,6,4,2438,2020,1290.0,844,1751,0.482,244,626,0.39,506,716,0.707,366.0,1186,475,228,146,444.0,598.0,4,6
110,Pennsylvania,31,22,9,0.71,4.16,-1.64,13.0,1.0,12,3,9,4,2297,2100,0.0,836,1712,0.488,188,520,0.362,437,658,0.664,324.0,1024,539,263,92,433.0,573.0,6,6
111,Texas-El Paso,35,27,8,0.771,9.61,0.91,14.0,4.0,16,2,7,4,2616,2278,0.0,901,1955,0.461,208,571,0.364,606,765,0.792,386.0,1197,579,255,104,426.0,581.0,4,6
